
=== CAPTURE 2026-09-03T16:00:41.518748 ===
16:01:19.494 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
16:01:19.501 | B1 36 78     | CC 36 value=78                      | control_change channel=1 control=54 value=120 time=0
16:01:19.505 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:19.518 | B1 36 78     | CC 36 value=78                      | control_change channel=1 control=54 value=120 time=0
16:01:19.524 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:19.529 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:19.537 | B1 36 78     | CC 36 value=78                      | control_change channel=1 control=54 value=120 time=0
16:01:19.542 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:19.549 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
16:01:19.561 | B1 36 7D     | CC 36 value=7D                      | control_change channel=1 control=54 value=125 time=0
16:01:19.566 | B1 36 76     | CC 36 value=76                      | control_change channel=1 control=54 value=118 time=0
16:01:19.572 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:19.584 | B1 36 72     | CC 36 value=72                      | control_change channel=1 control=54 value=114 time=0
16:01:19.589 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:19.613 | B1 36 79     | CC 36 value=79                      | control_change channel=1 control=54 value=121 time=0
16:01:19.621 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:23.694 | B1 36 75     | CC 36 value=75                      | control_change channel=1 control=54 value=117 time=0
16:01:23.706 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:23.797 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:23.802 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:23.814 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:23.821 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:23.862 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:23.869 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:23.881 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
16:01:23.886 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:25.165 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:25.170 | B1 36 7F     | CC 36 value=7F                      | control_change channel=1 control=54 value=127 time=0
16:01:25.177 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:25.194 | B1 36 76     | CC 36 value=76                      | control_change channel=1 control=54 value=118 time=0
16:01:25.201 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:25.213 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:25.218 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:25.230 | B1 36 7A     | CC 36 value=7A                      | control_change channel=1 control=54 value=122 time=0
16:01:25.237 | B1 36 7C     | CC 36 value=7C                      | control_change channel=1 control=54 value=124 time=0
16:01:25.242 | B1 36 77     | CC 36 value=77                      | control_change channel=1 control=54 value=119 time=0
16:01:25.254 | B1 36 7B     | CC 36 value=7B                      | control_change channel=1 control=54 value=123 time=0
